Id,Name,Symbol,Description,Rank,Price Usd,Price Btc,24h Volume Usd,Market Cap Usd,Available Supply,Total Supply,Percent Change 1h,Percent Change 24h,Percent Change 7d,Last Updated
sonm,SONM,SNM,Rent compute power,107,0.0950333,0.00001655,625258,34173975,359600000,444000000,-0.25,0.09,-5.61,1509199459
centra,Centra,CTR,Cryptocurrency debit card,108,0.498983,0.00008691,1190070,33930844,68000000,98272765,-2.35,-13.93,-12.8,1509199461
gulden,Gulden,NLG,Cryptocurrency,109,0.0953547,0.00001661,112166,33872597,355227345,457247500,1.01,-1.71,2.94,1509199443
bitqy,bitqy,BQ,Fund MLM Company,110,0.0266978,0.00000465,86293.7,33207668,1243835384,10000000000,-0.06,70.69,58.88,1509199463
request-network,Request Network,REQ,Invoicing,111,0.0489472,0.00000852,1030080,31130419,636000000,1000000000,-0.34,-1.25,-12.55,1509199465
enigma-project,Enigma,ENG,Data marketplace,112,0.414971,0.00007227,370411,31054841,74836171,150000000,0.01,-2.84,-2.57,1509199465
reddcoin,ReddCoin,RDD,Cryptocurrency,113,0.00103254,0.00000018,167946,29585233,28652868729,28652868729,1.49,3.09,3.64,1509199443
district0x,district0x,DNT,Marketplace communities like Etsy,114,0.0485163,0.00000845,2895540,29109780,600000000,1000000000,0.62,-6.39,-20.78,1509199461
everex,Everex,EVX,Cryptocurrency,115,1.7543,0.00030554,2658730,28945950,16500000,25000000,-0.86,25.1,63.24,1509199464
substratum,Substratum,SUB,Something something AI Compression,116,0.126411,0.00002202,312133,28580446,226091449,352000000,-1.08,-2.71,-2.52,1509199464
peercoin,Peercoin,PPC,Bitcoin clone,117,1.17066,0.00020389,120551,28571309,24406155,24406155,-1.02,1.79,-6.85,1509199440
tokencard,TokenCard,TKN,Cryptocurrency debit card,118,1.17716,0.00020502,194383,27832837,23644056,30133540,0.27,1.06,-3.74,1509199457
airswap,AirSwap,AST,Decentralized exchange,119,0.184304,0.0000321,1735390,27645600,150000000,500000000,-0.27,-10.22,-20.91,1509199465
cloakcoin,CloakCoin,CLOAK,Bitcoin clone,120,5.31697,0.00092604,214663,27221288,5119699,5119699,0.58,-6.57,-7.82,1509199443
cofound-it,Cofound.it,CFI,Venture capital fund,121,0.0833947,0.00001452,162674,27103278,325000000,500000000,-1.76,-5.04,2.66,1509199458
pillar,Pillar,PLR,Something something data privacy,122,0.116805,0.00002034,165535,26559682,227384800,800000000,-2.23,-8.43,15.44,1509199461
eidoo,Eidoo,EDO,Wallet app with token,123,2.47799,0.00043158,882979,26535316,10708403,90708326,2.36,-1.99,11.37,1509199465
trust,WeTrust,TRST,Community loans,124,0.287235,0.00005003,244326,26467987,92147500,100000000,1.38,-1.67,-4.18,1509199456
moeda-loyalty-points,Moeda Loyalty Points,MDA,Cryptocurrency,125,1.30552,0.00022738,117767,25625906,19628888,19628888,1.4,-0.67,3.89,1509199463
firstblood,FirstBlood,1ST,E-sports tournaments,126,0.299374,0.00005214,568268,25613952,85558371,93468691,2.29,0.34,15.04,1509199452
rise,Rise,RISE,,127,0.220473,0.0000384,209489,24944139,113139200,113139200,1.83,0.3,-3.79,1509199450
leocoin,LEOcoin,LEO,,128,0.269219,0.00004689,22460,24860451,92342854,100700273,0.24,-0.43,-0.01,1509199447
tierion,Tierion,TNT,,129,0.058577,0.0000102,315401,24749583,422513667,1000000000,-1.22,8.91,27.42,1509199462
viacoin,Viacoin,VIA,,130,1.07492,0.00018721,515248,24585606,22872033,22872033,0.73,3.21,20.67,1509199444
bitbay,BitBay,BAY,,131,0.0239311,0.00000417,145463,24117998,1007809830,1007809830,4.19,11.87,4.35,1509199445
